id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
26,2018-05-30 21:09:53.175951,,,,,,t,2018-05-30 21:21:40.763433,{},info,1,1,"{""trial"":4,""move_num"":5,""squareID"":1,""player"":""H""}"
25,2018-05-30 21:09:51.994595,,,,,,t,2018-05-30 21:21:40.84033,{},info,1,1,"{""trial"":4,""theta_cond_pair"":0,""theta_cond_pair_str"":""Schr1"",""theta"":0}"
24,2018-05-30 21:09:51.919113,,,,,,t,2018-05-30 21:21:40.879691,{},info,1,1,"{""trial"":4,""nsquares"":4}"
23,2018-05-30 21:09:50.779499,,,,,,t,2018-05-30 21:21:40.918223,{},info,1,1,"{""trial"":4,""move_num"":4,""squareID"":7,""player"":""R""}"
22,2018-05-30 21:09:50.368484,,,,,,t,2018-05-30 21:21:40.932564,{},info,1,1,"{""trial"":4,""move_num"":3,""squareID"":2,""player"":""H""}"
21,2018-05-30 21:09:49.365527,,,,,,t,2018-05-30 21:21:40.960799,{},info,1,1,"{""trial"":4,""move_num"":2,""squareID"":7,""player"":""R""}"
20,2018-05-30 21:09:49.229205,,,,,,t,2018-05-30 21:21:40.975258,{},info,1,1,"{""trial"":4,""move_num"":1,""squareID"":0,""player"":""H""}"
19,2018-05-30 21:09:47.43712,,,,,,t,2018-05-30 21:21:40.994706,{},info,1,1,"{""trial"":3,""move_num"":5,""squareID"":6,""player"":""H""}"
18,2018-05-30 21:09:46.918246,,,,,,t,2018-05-30 21:21:41.025786,{},info,1,1,"{""trial"":3,""theta_cond_pair"":9,""theta_cond_pair_str"":""norc1"",""theta"":3}"
17,2018-05-30 21:09:46.916309,,,,,,t,2018-05-30 21:21:41.042162,{},info,1,1,"{""trial"":3,""nsquares"":5}"
16,2018-05-30 21:09:45.723886,,,,,,t,2018-05-30 21:21:41.097903,{},info,1,1,"{""trial"":3,""move_num"":3,""squareID"":3,""player"":""H""}"
15,2018-05-30 21:09:45.690952,,,,,,t,2018-05-30 21:21:41.129404,{},info,1,1,"{""trial"":3,""move_num"":4,""squareID"":5,""player"":""R""}"
14,2018-05-30 21:09:43.31516,,,,,,t,2018-05-30 21:21:41.157515,{},info,1,1,"{""trial"":3,""move_num"":1,""squareID"":0,""player"":""H""}"
13,2018-05-30 21:09:43.298114,,,,,,t,2018-05-30 21:21:41.17372,{},info,1,1,"{""trial"":3,""move_num"":2,""squareID"":7,""player"":""R""}"
12,2018-05-30 21:09:39.301743,,,,,,t,2018-05-30 21:21:41.18545,{},info,1,1,"{""trial"":2,""move_num"":3,""squareID"":7,""player"":""H""}"
11,2018-05-30 21:09:38.860184,,,,,,t,2018-05-30 21:21:41.199385,{},info,1,1,"{""trial"":2,""nsquares"":3}"
10,2018-05-30 21:09:38.772397,,,,,,t,2018-05-30 21:21:41.217986,{},info,1,1,"{""trial"":2,""theta_cond_pair"":2,""theta_cond_pair_str"":""Schr3"",""theta"":2}"
